id,sc-bytes
80,78956.0
188,71396.0
295,71763.0
306,420.0
392,76331.0
448,71700.0
676,61566.0
882,61968.0
909,73446.0
981,67475.0
1014,56868.0
1037,69441.0
1054,70451.0
1069,70465.0
1097,71405.0
1142,74311.0
1183,70405.0
1237,87196.0
1251,70353.0
1255,81313.0
1259,72689.0
1319,67109.0
1323,71029.0
1409,75651.0
1410,63684.0
1415,75681.0
1445,68963.0
1469,86780.0
1491,68379.0
1517,90936.0
1528,61508.0
1577,64196.0
1653,68453.0
1705,63972.0
1803,69307.0
1815,91086.0
1818,73876.0
1829,74984.0
1833,74353.0
1873,74449.0
1887,77254.0
1899,71930.0
2015,72629.0
2048,90882.0
2118,76183.0
2205,69072.0
2252,62152.0
2301,71643.0
2463,78498.0
2469,69565.0
2473,70545.0
2526,75469.0
2573,69045.0
2617,63775.0
2835,91122.0
2854,74047.0
2860,91062.0
2866,82832.0
2894,69305.0
2951,84726.0
3042,68347.0
3044,82709.0
3091,77232.0
3101,74771.0
3202,68663.0
3218,38399.0
3245,59652.0
3278,82707.0
3481,89982.0
3488,84451.0
3607,67249.0
3674,81081.0
3707,80843.0
3830,71675.0
3842,72249.0
3907,67513.0
3911,81621.0
3957,88746.0
4024,62324.0
4035,68915.0
4038,76933.0
4110,66057.0
4123,77031.0
4136,74913.0
4166,70745.0
4199,68483.0
4231,84516.0
4241,81599.0
4365,73215.0
4376,66041.0
4411,90968.0
4435,83875.0
4524,83825.0
4538,65780.0
4543,83679.0
4567,75555.0
4680,77527.0
4687,71073.0
4786,59620.0
4859,453.0
4861,76104.0
4862,69394.0
4895,59988.0
4956,73487.0
5007,74289.0
5028,75253.0
5103,83055.0
5294,70613.0
5412,70571.0
5480,77242.0
5555,79367.0
5573,72275.0
5596,56788.0
5599,69061.0
5622,79969.0
5651,64708.0
5742,71055.0
5765,77069.0
5822,75209.0
5866,69457.0
5874,79301.0
5916,77277.0
5994,74323.0
6031,72923.0
6120,70491.0
6187,40751.0
6193,75361.0
6202,69617.0
6221,437.0
6279,80885.0
6297,71163.0
6299,88070.0
6329,86988.0
6346,86696.0
6414,59482.0
6422,73402.0
6647,78477.0
6779,71086.0
6882,69511.0
6926,73384.0
7208,67093.0
7274,68675.0
7324,70447.0
7372,68449.0
7501,67745.0
7536,63956.0
7569,73075.0
7579,70935.0
7608,76065.0
7613,81607.0
7653,79219.0
7687,469.0
7688,82867.0
7817,76851.0
7827,65604.0
7828,78787.0
7829,65588.0
7830,69565.0
7855,71949.0
7874,86694.0
7908,75141.0
7994,89430.0
8026,76368.0
8060,80362.0
8082,75305.0
8146,89014.0
8231,71339.0
8375,15840.0
8440,80591.0
8542,67206.0
8554,65151.0
8564,74301.0
8592,81243.0
8641,88707.0
8773,68785.0
8784,77323.0
8794,81755.0
8830,70729.0
8899,67697.0
8950,69315.0
8976,73459.0
9118,80641.0
9164,67137.0
9193,73441.0
9219,78777.0
9224,72241.0
9295,71666.0
9352,80771.0
9360,79155.0
9440,74045.0
9483,67129.0
9491,76937.0
9535,62084.0
9558,72301.0
9575,76169.0
9591,69710.0
9646,82822.0
9678,68932.0
9709,65891.0
9886,81152.0
9924,61140.0
9972,91222.0
9983,68389.0
9998,80577.0
10044,74789.0
10080,86792.0
10245,88860.0
10357,70600.0
10451,75153.0
10501,71817.0
10618,75037.0
10699,72133.0
10718,74997.0
10797,75841.0
10818,68581.0
