label,aoi_mean,aoi_<lambda_0>,total_latency_mean,total_latency_<lambda_0>,number_of_requests_to_provider_mean,number_of_requests_to_provider_<lambda_0>,hit_rate_mean,hit_rate_<lambda_0>
v2accuracy-20.0-N0-standard-mix,191447.3047881467,"(188514.8706583706, 194379.73891792272)",390.397700224488,"(380.41837484543396, 400.37702560354194)",63822.86666666667,"(62100.66537851082, 65545.06795482252)",0.7240449239264461,"(0.7165423169373544, 0.7315475309155379)"
v2accuracy-20.0-N0-standard-type,206778.31440985994,"(203997.24275437836, 209559.38606534147)",339.58042401441503,"(328.01435620311275, 351.1464918257172)",54571.13333333333,"(52922.730835414826, 56219.53583125184)",0.763696021932658,"(0.7564776592932823, 0.7709143845720337)"
v2accuracy-20.0-N1-cooperative-cache-mode-id,130840.1133623983,"(126480.02114592167, 135200.20557887497)",763.4419079568522,"(743.109818038533, 783.7739978751716)",100355.7,"(97660.4454352993, 103050.95456470069)",0.46000412673102686,"(0.4449902490717594, 0.47501800439029424)"
v2accuracy-20.0-N1-cooperative-cache-mode-location,148621.2107577626,"(141502.49467174566, 155739.92684377954)",687.7205902430035,"(650.4268195812039, 725.0143609048033)",89463.76666666666,"(85120.31027463468, 93807.22305869864)",0.5189062628674611,"(0.49470069719635046, 0.5431118285385718)"
v2accuracy-20.0-N1-cooperative-cache-mode-mix,130902.79215122946,"(125976.71676352083, 135828.86753893804)",765.9226158563147,"(740.4781402118845, 791.3670915007449)",100207.56666666667,"(97198.1317796318, 103217.00155370153)",0.46060876861221217,"(0.4439262269189767, 0.4772913103054474)"
v2accuracy-20.0-N1-cooperative-cache-mode-type,121452.79836838883,"(116265.85833252151, 126639.73840425615)",811.9477797069701,"(786.9175012556806, 836.9780581582594)",105717.76666666666,"(102591.83544071413, 108843.6978926192)",0.4285388499058182,"(0.4109199105509122, 0.4461577892607243)"
v2accuracy-20.0-N1-cooperative-id,130840.1133623983,"(126480.02114592167, 135200.20557887497)",763.4419079568522,"(743.109818038533, 783.7739978751716)",100355.7,"(97660.4454352993, 103050.95456470069)",0.46000412673102686,"(0.4449902490717594, 0.47501800439029424)"
v2accuracy-20.0-N1-cooperative-location,148621.2107577626,"(141502.49467174566, 155739.92684377954)",687.7205902430035,"(650.4268195812039, 725.0143609048033)",89463.76666666666,"(85120.31027463468, 93807.22305869864)",0.5189062628674611,"(0.49470069719635046, 0.5431118285385718)"
v2accuracy-20.0-N1-cooperative-mix,130902.79215122946,"(125976.71676352083, 135828.86753893804)",765.9226158563147,"(740.4781402118845, 791.3670915007449)",100207.56666666667,"(97198.1317796318, 103217.00155370153)",0.46060876861221217,"(0.4439262269189767, 0.4772913103054474)"
v2accuracy-20.0-N1-cooperative-type,121452.79836838883,"(116265.85833252151, 126639.73840425615)",811.9477797069701,"(786.9175012556806, 836.9780581582594)",105717.76666666666,"(102591.83544071413, 108843.6978926192)",0.4285388499058182,"(0.4109199105509122, 0.4461577892607243)"
v2accuracy-20.0-N1-standard-cache-mode-id,209008.432749603,"(206503.54938549479, 211513.31611371116)",297.14093150388436,"(284.9258507444179, 309.3560122633508)",52730.73333333333,"(51196.13522668782, 54265.33143997884)",0.7973687383399192,"(0.7891916387936471, 0.8055458378861913)"
v2accuracy-20.0-N1-standard-cache-mode-location,237946.85242339253,"(236711.61011888974, 239182.0947278953)",207.62961061710425,"(201.98366164224538, 213.27555959196312)",34664.36666666667,"(33961.93452512773, 35366.79880820561)",0.8625841574470211,"(0.859064163707474, 0.8661041511865685)"
v2accuracy-20.0-N1-standard-cache-mode-mix,216224.28645887267,"(214306.63448866564, 218141.9384290797)",272.8030163815234,"(264.9865694017243, 280.6194633613226)",47854.0,"(46670.23899707916, 49037.76100292084)",0.8134530091362542,"(0.8077725346883269, 0.8191334835841815)"
v2accuracy-20.0-N1-standard-cache-mode-type,229364.77755707825,"(227790.9910129226, 230938.5641012339)",229.4410633356536,"(221.6521964610817, 237.22993021022563)",39597.23333333333,"(38563.09868029054, 40631.36798637612)",0.8462584900529109,"(0.8406730243622105, 0.851843955743611)"
v2accuracy-20.0-N1-standard-id,209008.432749603,"(206503.54938549479, 211513.31611371116)",297.14093150388436,"(284.9258507444179, 309.3560122633508)",52730.73333333333,"(51196.13522668782, 54265.33143997884)",0.7973687383399192,"(0.7891916387936471, 0.8055458378861913)"
v2accuracy-20.0-N1-standard-location,237946.85242339253,"(236711.61011888974, 239182.0947278953)",207.62961061710425,"(201.98366164224538, 213.27555959196312)",34664.36666666667,"(33961.93452512773, 35366.79880820561)",0.8625841574470211,"(0.859064163707474, 0.8661041511865685)"
v2accuracy-20.0-N1-standard-mix,216224.28645887267,"(214306.63448866564, 218141.9384290797)",272.8030163815234,"(264.9865694017243, 280.6194633613226)",47854.0,"(46670.23899707916, 49037.76100292084)",0.8134530091362542,"(0.8077725346883269, 0.8191334835841815)"
v2accuracy-20.0-N1-standard-type,229364.77755707825,"(227790.9910129226, 230938.5641012339)",229.4410633356536,"(221.6521964610817, 237.22993021022563)",39597.23333333333,"(38563.09868029054, 40631.36798637612)",0.8462584900529109,"(0.8406730243622105, 0.851843955743611)"
v2accuracy-20.0-N2-cooperative-cache-mode-id,139158.22144465343,"(134000.0622546736, 144316.38063463327)",737.7016920903918,"(712.8402644099806, 762.563119770803)",95243.9,"(92172.79209831792, 98315.00790168207)",0.4886032782493247,"(0.4711288864753603, 0.506077670023289)"
v2accuracy-20.0-N2-cooperative-cache-mode-location,166358.7096720241,"(160032.2727635564, 172685.14658049174)",607.8112016771174,"(577.3334452288192, 638.2889581254154)",78349.06666666667,"(74458.75023223645, 82239.38310109689)",0.5806095055779308,"(0.5591727640537757, 0.6020462471020859)"
v2accuracy-20.0-N2-cooperative-cache-mode-mix,141163.5402376201,"(134660.1301735315, 147666.95030170868)",725.9645804509667,"(694.3818788032041, 757.5472820987296)",93684.83333333333,"(89681.93467942135, 97687.73198724531)",0.49664005491367946,"(0.47428057840777954, 0.5189995314195794)"
v2accuracy-20.0-N2-cooperative-cache-mode-type,141350.7610046704,"(131354.8077744598, 151346.71423488102)",720.1260451178358,"(673.0212481773244, 767.2308420583477)",93401.66666666667,"(87237.18779228655, 99566.14554104679)",0.4975091005843858,"(0.46309110909728185, 0.5319270920714899)"
v2accuracy-20.0-N2-cooperative-id,139158.22144465343,"(134000.0622546736, 144316.38063463327)",737.7016920903918,"(712.8402644099806, 762.563119770803)",95243.9,"(92172.79209831792, 98315.00790168207)",0.4886032782493247,"(0.4711288864753603, 0.506077670023289)"
v2accuracy-20.0-N2-cooperative-location,166358.7096720241,"(160032.2727635564, 172685.14658049174)",607.8112016771174,"(577.3334452288192, 638.2889581254154)",78349.06666666667,"(74458.75023223645, 82239.38310109689)",0.5806095055779308,"(0.5591727640537757, 0.6020462471020859)"
v2accuracy-20.0-N2-cooperative-mix,141163.5402376201,"(134660.1301735315, 147666.95030170868)",725.9645804509667,"(694.3818788032041, 757.5472820987296)",93684.83333333333,"(89681.93467942135, 97687.73198724531)",0.49664005491367946,"(0.47428057840777954, 0.5189995314195794)"
v2accuracy-20.0-N2-cooperative-type,141350.7610046704,"(131354.8077744598, 151346.71423488102)",720.1260451178358,"(673.0212481773244, 767.2308420583477)",93401.66666666667,"(87237.18779228655, 99566.14554104679)",0.4975091005843858,"(0.46309110909728185, 0.5319270920714899)"
v2accuracy-20.0-N2-standard-cache-mode-id,229218.51768850445,"(227244.103594719, 231192.93178229002)",203.58067774428574,"(193.2217708570849, 213.93958463148653)",39669.2,"(38471.9369466568, 40866.46305334319)",0.8696713257466369,"(0.8631161700352099, 0.876226481458064)"
v2accuracy-20.0-N2-standard-cache-mode-location,248366.24591784985,"(247279.3540007863, 249453.13783491353)",155.3235542660197,"(149.74508453124156, 160.90202400079778)",27767.733333333334,"(27086.77847661575, 28448.688190050918)",0.9011959494520234,"(0.8972645913494688, 0.9051273075545774)"
v2accuracy-20.0-N2-standard-cache-mode-mix,234929.83617738614,"(232696.5555762696, 237163.11677850268)",187.9256278847856,"(177.52563562524134, 198.32562014432986)",35835.5,"(34460.38317498168, 37210.61682501832)",0.8792058613771876,"(0.8716098937586554, 0.88680182899572)"
v2accuracy-20.0-N2-standard-cache-mode-type,241907.72328375216,"(240597.9143643553, 243217.53220314896)",167.62644543334054,"(161.2853006607097, 173.96759020597136)",31273.533333333333,"(30513.44520756781, 32033.621459098857)",0.8930489252614404,"(0.8888946733034861, 0.8972031772193945)"
v2accuracy-20.0-N2-standard-id,229218.51768850445,"(227244.103594719, 231192.93178229002)",203.58067774428574,"(193.2217708570849, 213.93958463148653)",39669.2,"(38471.9369466568, 40866.46305334319)",0.8696713257466369,"(0.8631161700352099, 0.876226481458064)"
v2accuracy-20.0-N2-standard-location,248366.24591784985,"(247279.3540007863, 249453.13783491353)",155.3235542660197,"(149.74508453124156, 160.90202400079778)",27767.733333333334,"(27086.77847661575, 28448.688190050918)",0.9011959494520234,"(0.8972645913494688, 0.9051273075545774)"
v2accuracy-20.0-N2-standard-mix,234929.83617738614,"(232696.5555762696, 237163.11677850268)",187.9256278847856,"(177.52563562524134, 198.32562014432986)",35835.5,"(34460.38317498168, 37210.61682501832)",0.8792058613771876,"(0.8716098937586554, 0.88680182899572)"
v2accuracy-20.0-N2-standard-type,241907.72328375216,"(240597.9143643553, 243217.53220314896)",167.62644543334054,"(161.2853006607097, 173.96759020597136)",31273.533333333333,"(30513.44520756781, 32033.621459098857)",0.8930489252614404,"(0.8888946733034861, 0.8972031772193945)"
v2accuracy-40.0-N0-cooperative-cache-mode-id,117763.67157658868,"(110205.15707519754, 125322.18607797982)",820.4547639874895,"(786.6170010249193, 854.2925269500595)",108286.68,"(103705.14509107702, 112868.21490892296)",0.41736533339805204,"(0.3916252869045055, 0.4431053798915988)"
v2accuracy-40.0-N0-cooperative-cache-mode-mix,117078.80204235496,"(109890.80057926865, 124266.80350544128)",827.0750221181204,"(788.0801721122195, 866.069872124021)",108774.76666666666,"(104408.07822653004, 113141.45510680329)",0.4141770875051659,"(0.38982345215611097, 0.43853072285422096)"
v2accuracy-40.0-N0-standard-cache-mode-id,210105.57052504053,"(207507.64466811824, 212703.49638196282)",247.0898510097382,"(240.07427139607395, 254.10543062340238)",52955.96666666667,"(51394.51326458033, 54517.420068753)",0.8310100523171221,"(0.8260060560503992, 0.8360140485838452)"
v2accuracy-40.0-N0-standard-cache-mode-location,238865.78293653464,"(237551.27820689688, 240180.28766617246)",171.56930310966408,"(167.48217757632625, 175.65642864300185)",35226.46666666667,"(34467.930779440154, 35985.00255389318)",0.8864909732130328,"(0.8840159273877575, 0.8889660190383082)"
v2accuracy-40.0-N0-standard-cache-mode-mix,220072.9010618268,"(217219.9950052769, 222925.80711837675)",220.14681716108282,"(211.9519135114741, 228.3417208106915)",46489.63333333333,"(44789.017614693796, 48190.24905197287)",0.8510610934392646,"(0.8456004056046522, 0.8565217812738772)"
v2accuracy-40.0-N0-standard-cache-mode-type,228946.94752288406,"(227037.42914252146, 230856.46590324666)",196.79637333282878,"(191.7785455487583, 201.8142011168992)",41107.0,"(39959.94836790861, 42254.05163209139)",0.8680265631551166,"(0.864322858199996, 0.871730268110237)"
