label,aoi_mean,aoi_<lambda_0>,total_latency_mean,total_latency_<lambda_0>,number_of_requests_to_provider_mean,number_of_requests_to_provider_<lambda_0>,hit_rate_mean,hit_rate_<lambda_0>
accuracy-0-N0-standard-cache-mode-id,34567.80269434753,"(34228.34440918205, 34907.260979513005)",1187.6640808135242,"(1175.529487245819, 1199.7986743812294)",156096.93333333332,"(155862.33661546698, 156331.53005119966)",0.1319049712028241,"(0.13104520482416437, 0.13276473758148383)"
accuracy-0-N0-standard-cache-mode-location,40322.89494190319,"(40121.588006138496, 40524.2018776679)",1176.30302517913,"(1149.21697785569, 1203.38907250257)",154458.46666666667,"(154277.40386649212, 154639.52946684122)",0.14189309483384768,"(0.14134127680219075, 0.14244491286550456)"
accuracy-0-N0-standard-cache-mode-mix,36331.18174385403,"(35889.88635893437, 36772.47712877371)",1187.4941579038727,"(1167.0162316142648, 1207.9720841934811)",155756.86666666667,"(155470.41763667276, 156043.31569666057)",0.13451480274477354,"(0.13338323026059648, 0.1356463752289506)"
accuracy-0-N0-standard-cache-mode-type,38364.01213052481,"(37965.29542079541, 38762.728840254225)",1195.329685562718,"(1167.1547337544032, 1223.5046373710327)",155155.96666666667,"(154870.3832561457, 155441.55007718765)",0.13788404413204167,"(0.1368243049091011, 0.13894378335498223)"
accuracy-0-N1-standard-cache-mode-id,39240.07098769073,"(38920.946777714744, 39559.195197666726)",1186.4518681928014,"(1175.0821824336692, 1197.8215539519335)",154099.06666666668,"(153936.93921290743, 154261.19412042593)",0.14425482916184806,"(0.14359410927627222, 0.1449155490474239)"
accuracy-0-N1-standard-cache-mode-location,42654.95671696386,"(42434.42906291098, 42875.484371016755)",1171.209194113272,"(1150.3541317071501, 1192.0642565193937)",153218.76666666666,"(153034.91408656084, 153402.6192467725)",0.14901338378964324,"(0.14844528441646937, 0.1495814831628171)"
accuracy-0-N1-standard-cache-mode-mix,40360.053998749885,"(40080.83054624739, 40639.2774512524)",1178.0953234995015,"(1162.706245139922, 1193.4844018590811)",153708.43333333332,"(153464.63226832647, 153952.23439834017)",0.14558500618659292,"(0.14488845000329764, 0.1462815623698882)"
accuracy-0-N1-standard-cache-mode-type,41494.65002823886,"(41214.55797639773, 41774.74208007999)",1199.7517853444172,"(1158.4080834734737, 1241.0954872153607)",153649.3,"(153414.28237231288, 153884.3176276871)",0.14672923317557782,"(0.14594678136167744, 0.1475116849894783)"
accuracy-0-N2-standard-cache-mode-id,41210.79727426275,"(40818.00643598244, 41603.58811254307)",1188.1207520211112,"(1177.931123956099, 1198.3103800861234)",152922.6,"(152714.15852056828, 153131.04147943173)",0.15004026672527535,"(0.14950802630997287, 0.15057250714057788)"
accuracy-0-N2-standard-cache-mode-location,43572.19100321255,"(43295.24073989041, 43849.14126653471)",1182.3355695628404,"(1147.5725964402632, 1217.0985426854172)",152542.66666666666,"(152258.6523763705, 152826.6809569628)",0.1522960507368815,"(0.1516358479194547, 0.15295625355430828)"
accuracy-0-N2-standard-cache-mode-mix,41955.86840359075,"(41690.773152002635, 42220.963655178864)",1186.4051545769087,"(1169.0267820346899, 1203.7835271191275)",152939.53333333333,"(152719.0703571263, 153159.99630954035)",0.15022599358465272,"(0.14967279511985487, 0.15077919204945062)"
accuracy-0-N2-standard-cache-mode-type,42932.100718261805,"(42670.120462384846, 43194.08097413875)",1185.9853139216425,"(1158.7813811328342, 1213.1892467104512)",152747.1,"(152535.04647500833, 152959.15352499168)",0.15137783361725657,"(0.15075397571264215, 0.15200169152187099)"
accuracy-20-N0-standard-mix,175745.71475372987,"(172857.25325947243, 178634.1762479872)",448.62777059538973,"(435.976692976141, 461.27884821463846)",71342.43333333333,"(69569.94077675346, 73114.92588991321)",0.6829350038442521,"(0.6751683882453562, 0.690701619443148)"
accuracy-20-N1-standard-mix,205402.84238964188,"(203069.00218555774, 207736.68259372597)",312.0422341519121,"(302.68599324890977, 321.39847505491446)",52658.46666666667,"(51261.395912844855, 54055.53742048848)",0.7860445041762023,"(0.7793872993968455, 0.7927017089555591)"
accuracy-20-N2-standard-mix,222980.36614844314,"(220986.9940807968, 224973.7382160894)",230.6689044076606,"(221.09766185838834, 240.24014695693285)",41545.8,"(40318.75783332209, 42772.84216667792)",0.848147744057228,"(0.8421321799913946, 0.8541633081230615)"
accuracy-40-N0-standard-mix,210344.848802127,"(208000.1547223502, 212689.54288190385)",244.08147199535287,"(236.96051293135116, 251.20243105935447)",50192.566666666666,"(48780.20270947697, 51604.93062385636)",0.8328543398139956,"(0.8281512183384274, 0.8375574612895635)"
accuracy-40-N1-standard-mix,230924.78179807786,"(228976.1202372593, 232873.4433588963)",152.1277107642117,"(146.24991277168638, 158.00550875673704)",37238.36666666667,"(36085.8801257813, 38390.853207552034)",0.9023359113432051,"(0.8983620593382241, 0.9063097633481866)"
baseline,254.1917313946816,"(247.12852216506082, 261.2549406243023)",1368.7299122552567,"(1351.9413965747533, 1385.5184279357602)",179980.33333333334,"(179753.29902017082, 180207.36764649587)",0.0,"(nan, nan)"
v2accuracy-0-N0-standard-cache-mode-id,34567.80269434753,"(34228.34440918205, 34907.260979513005)",1187.6640808135242,"(1175.529487245819, 1199.7986743812294)",156096.93333333332,"(155862.33661546698, 156331.53005119966)",0.1319049712028241,"(0.13104520482416437, 0.13276473758148383)"
v2accuracy-0-N0-standard-cache-mode-location,40322.89494190319,"(40121.588006138496, 40524.2018776679)",1176.30302517913,"(1149.21697785569, 1203.38907250257)",154458.46666666667,"(154277.40386649212, 154639.52946684122)",0.14189309483384768,"(0.14134127680219075, 0.14244491286550456)"
v2accuracy-0-N0-standard-cache-mode-mix,36584.36084850359,"(36184.72642291752, 36983.995274089655)",1191.4718639760308,"(1177.3941160636323, 1205.5496118884294)",155621.13333333333,"(155374.55413755844, 155867.71252910822)",0.1350750461426233,"(0.13407775378772738, 0.13607233849751918)"
v2accuracy-0-N0-standard-cache-mode-type,38364.01213052481,"(37965.29542079541, 38762.728840254225)",1195.329685562718,"(1167.1547337544032, 1223.5046373710327)",155155.96666666667,"(154870.3832561457, 155441.55007718765)",0.13788404413204167,"(0.1368243049091011, 0.13894378335498223)"
v2accuracy-0-N0-standard-id,34567.80269434753,"(34228.34440918205, 34907.260979513005)",1187.6640808135242,"(1175.529487245819, 1199.7986743812294)",156096.93333333332,"(155862.33661546698, 156331.53005119966)",0.1319049712028241,"(0.13104520482416437, 0.13276473758148383)"
v2accuracy-0-N0-standard-location,40322.89494190319,"(40121.588006138496, 40524.2018776679)",1176.30302517913,"(1149.21697785569, 1203.38907250257)",154458.46666666667,"(154277.40386649212, 154639.52946684122)",0.14189309483384768,"(0.14134127680219075, 0.14244491286550456)"
v2accuracy-0-N0-standard-mix,36584.36084850359,"(36184.72642291752, 36983.995274089655)",1191.4718639760308,"(1177.3941160636323, 1205.5496118884294)",155621.13333333333,"(155374.55413755844, 155867.71252910822)",0.1350750461426233,"(0.13407775378772738, 0.13607233849751918)"
v2accuracy-0-N0-standard-type,38364.01213052481,"(37965.29542079541, 38762.728840254225)",1195.329685562718,"(1167.1547337544032, 1223.5046373710327)",155155.96666666667,"(154870.3832561457, 155441.55007718765)",0.13788404413204167,"(0.1368243049091011, 0.13894378335498223)"
v2accuracy-0-N1-standard-cache-mode-id,39240.07098769073,"(38920.946777714744, 39559.195197666726)",1186.4518681928014,"(1175.0821824336692, 1197.8215539519335)",154099.06666666668,"(153936.93921290743, 154261.19412042593)",0.14425482916184806,"(0.14359410927627222, 0.1449155490474239)"
v2accuracy-0-N1-standard-cache-mode-location,42654.95671696386,"(42434.42906291098, 42875.484371016755)",1171.209194113272,"(1150.3541317071501, 1192.0642565193937)",153218.76666666666,"(153034.91408656084, 153402.6192467725)",0.14901338378964324,"(0.14844528441646937, 0.1495814831628171)"
v2accuracy-0-N1-standard-cache-mode-mix,40186.14543868674,"(39892.01674223932, 40480.27413513415)",1168.8679387409256,"(1153.357010372461, 1184.3788671093903)",153906.46666666667,"(153666.42083596365, 154146.5124973697)",0.14511781877626836,"(0.14430740236337072, 0.14592823518916595)"
v2accuracy-0-N1-standard-cache-mode-type,41494.65002823886,"(41214.55797639773, 41774.74208007999)",1199.7517853444172,"(1158.4080834734737, 1241.0954872153607)",153649.3,"(153414.28237231288, 153884.3176276871)",0.14672923317557782,"(0.14594678136167744, 0.1475116849894783)"
v2accuracy-0-N1-standard-id,39240.07098769073,"(38920.946777714744, 39559.195197666726)",1186.4518681928014,"(1175.0821824336692, 1197.8215539519335)",154099.06666666668,"(153936.93921290743, 154261.19412042593)",0.14425482916184806,"(0.14359410927627222, 0.1449155490474239)"
v2accuracy-0-N1-standard-location,42654.95671696386,"(42434.42906291098, 42875.484371016755)",1171.209194113272,"(1150.3541317071501, 1192.0642565193937)",153218.76666666666,"(153034.91408656084, 153402.6192467725)",0.14901338378964324,"(0.14844528441646937, 0.1495814831628171)"
v2accuracy-0-N1-standard-mix,40186.14543868674,"(39892.01674223932, 40480.27413513415)",1168.8679387409256,"(1153.357010372461, 1184.3788671093903)",153906.46666666667,"(153666.42083596365, 154146.5124973697)",0.14511781877626836,"(0.14430740236337072, 0.14592823518916595)"
v2accuracy-0-N1-standard-type,41494.65002823886,"(41214.55797639773, 41774.74208007999)",1199.7517853444172,"(1158.4080834734737, 1241.0954872153607)",153649.3,"(153414.28237231288, 153884.3176276871)",0.14672923317557782,"(0.14594678136167744, 0.1475116849894783)"
v2accuracy-0-N2-standard-cache-mode-id,41210.79727426275,"(40818.00643598244, 41603.58811254307)",1188.1207520211112,"(1177.931123956099, 1198.3103800861234)",152922.6,"(152714.15852056828, 153131.04147943173)",0.15004026672527535,"(0.14950802630997287, 0.15057250714057788)"
v2accuracy-0-N2-standard-cache-mode-location,43572.19100321255,"(43295.24073989041, 43849.14126653471)",1182.3355695628404,"(1147.5725964402632, 1217.0985426854172)",152542.66666666666,"(152258.6523763705, 152826.6809569628)",0.1522960507368815,"(0.1516358479194547, 0.15295625355430828)"
v2accuracy-0-N2-standard-cache-mode-mix,41900.53982644996,"(41598.09870424113, 42202.98094865879)",1188.1318145779192,"(1169.017065744574, 1207.2465634112643)",152888.1,"(152646.37896635872, 153129.8210336413)",0.15023227806228415,"(0.1495682244759872, 0.15089633164858104)"
v2accuracy-0-N2-standard-cache-mode-type,42932.100718261805,"(42670.120462384846, 43194.08097413875)",1185.9853139216425,"(1158.7813811328342, 1213.1892467104512)",152747.1,"(152535.04647500833, 152959.15352499168)",0.15137783361725657,"(0.15075397571264215, 0.15200169152187099)"
v2accuracy-0-N2-standard-id,41210.79727426275,"(40818.00643598244, 41603.58811254307)",1188.1207520211112,"(1177.931123956099, 1198.3103800861234)",152922.6,"(152714.15852056828, 153131.04147943173)",0.15004026672527535,"(0.14950802630997287, 0.15057250714057788)"
v2accuracy-0-N2-standard-location,43572.19100321255,"(43295.24073989041, 43849.14126653471)",1182.3355695628404,"(1147.5725964402632, 1217.0985426854172)",152542.66666666666,"(152258.6523763705, 152826.6809569628)",0.1522960507368815,"(0.1516358479194547, 0.15295625355430828)"
v2accuracy-0-N2-standard-mix,41900.53982644996,"(41598.09870424113, 42202.98094865879)",1188.1318145779192,"(1169.017065744574, 1207.2465634112643)",152888.1,"(152646.37896635872, 153129.8210336413)",0.15023227806228415,"(0.1495682244759872, 0.15089633164858104)"
v2accuracy-0-N2-standard-type,42932.100718261805,"(42670.120462384846, 43194.08097413875)",1185.9853139216425,"(1158.7813811328342, 1213.1892467104512)",152747.1,"(152535.04647500833, 152959.15352499168)",0.15137783361725657,"(0.15075397571264215, 0.15200169152187099)"
v2accuracy-20.0-N0-cooperative-cache-mode-id,123109.04581614259,"(117880.79320110673, 128337.29843117848)",796.2455629950929,"(771.9622816631166, 820.5288443270689)",105313.3,"(102201.04059007777, 108425.55940992224)",0.4329810517416515,"(0.4152943710529423, 0.45066773243036085)"
v2accuracy-20.0-N0-cooperative-cache-mode-location,140273.44436548592,"(133214.465108291, 147332.42362268083)",719.569936621438,"(682.6172097045843, 756.5226635382916)",94886.43333333333,"(90573.15574727167, 99199.710919395)",0.4887089783359018,"(0.46475345404416535, 0.5126645026276382)"
v2accuracy-20.0-N0-cooperative-cache-mode-mix,119909.71535086604,"(113399.92415220027, 126419.50654953181)",807.8412514832396,"(773.5236461282632, 842.1588568382163)",106966.13333333333,"(103029.43509808554, 110902.83156858112)",0.4228177620093249,"(0.40071821718042633, 0.4449173068382236)"
v2accuracy-20.0-N0-cooperative-cache-mode-type,104201.42706130435,"(98176.88703681628, 110225.96708579248)",905.4810227825567,"(869.1630785864186, 941.798966978695)",116653.8,"(113008.51860884414, 120299.08139115587)",0.3681128408303275,"(0.3477443962449671, 0.3884812854156877)"
v2accuracy-20.0-N0-cooperative-id,123109.04581614259,"(117880.79320110673, 128337.29843117848)",796.2455629950929,"(771.9622816631166, 820.5288443270689)",105313.3,"(102201.04059007777, 108425.55940992224)",0.4329810517416515,"(0.4152943710529423, 0.45066773243036085)"
v2accuracy-20.0-N0-cooperative-location,140273.44436548592,"(133214.465108291, 147332.42362268083)",719.569936621438,"(682.6172097045843, 756.5226635382916)",94886.43333333333,"(90573.15574727167, 99199.710919395)",0.4887089783359018,"(0.46475345404416535, 0.5126645026276382)"
v2accuracy-20.0-N0-cooperative-mix,119909.71535086604,"(113399.92415220027, 126419.50654953181)",807.8412514832396,"(773.5236461282632, 842.1588568382163)",106966.13333333333,"(103029.43509808554, 110902.83156858112)",0.4228177620093249,"(0.40071821718042633, 0.4449173068382236)"
v2accuracy-20.0-N0-cooperative-type,104201.42706130435,"(98176.88703681628, 110225.96708579248)",905.4810227825567,"(869.1630785864186, 941.798966978695)",116653.8,"(113008.51860884414, 120299.08139115587)",0.3681128408303275,"(0.3477443962449671, 0.3884812854156877)"
v2accuracy-20.0-N0-standard-cache-mode-id,176470.3348850704,"(172998.91330260644, 179941.75646753435)",446.6126189388097,"(433.6126612841863, 459.6125765934329)",73110.66666666667,"(71083.5563862965, 75137.77694703684)",0.6844705039261544,"(0.6755483356480421, 0.6933926722042669)"
v2accuracy-20.0-N0-standard-cache-mode-location,220589.5642274996,"(218956.59485392756, 222222.53360107157)",289.17528091736597,"(281.90760631089086, 296.4429555238411)",46025.066666666666,"(45068.62538379197, 46981.50794954136)",0.8002106060653343,"(0.7960077410647138, 0.8044134710659548)"
v2accuracy-20.0-N0-standard-cache-mode-mix,191447.3047881467,"(188514.8706583706, 194379.73891792272)",390.397700224488,"(380.41837484543396, 400.37702560354194)",63822.86666666667,"(62100.66537851082, 65545.06795482252)",0.7240449239264461,"(0.7165423169373544, 0.7315475309155379)"
v2accuracy-20.0-N0-standard-cache-mode-type,206778.31440985994,"(203997.24275437836, 209559.38606534147)",339.58042401441503,"(328.01435620311275, 351.1464918257172)",54571.13333333333,"(52922.730835414826, 56219.53583125184)",0.763696021932658,"(0.7564776592932823, 0.7709143845720337)"
v2accuracy-20.0-N0-standard-id,176470.3348850704,"(172998.91330260644, 179941.75646753435)",446.6126189388097,"(433.6126612841863, 459.6125765934329)",73110.66666666667,"(71083.5563862965, 75137.77694703684)",0.6844705039261544,"(0.6755483356480421, 0.6933926722042669)"
v2accuracy-20.0-N0-standard-location,220589.5642274996,"(218956.59485392756, 222222.53360107157)",289.17528091736597,"(281.90760631089086, 296.4429555238411)",46025.066666666666,"(45068.62538379197, 46981.50794954136)",0.8002106060653343,"(0.7960077410647138, 0.8044134710659548)"
