strategy,edge_nodes,MAE
global,3,24.70936308308385
local,3,255.02004521567486
federated,3,42.66663716324626
global,6,24.177471649529622
local,6,252.11313485312
federated,6,27.621916547221733
global,9,23.38760969008307
local,9,251.15227425747798
federated,9,31.11428856661753
global,12,24.18760969008307
local,12,247.78168504274637
federated,12,28.017546341224772
