aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
242752.92493127388,192315.89104874147,139.99743121819782,1411.5669430580333,32360,0.9101132352777438
237893.93217420767,192998.59075964926,120.80843122007576,752.6672781056081,34752,0.9184894300092202
237534.21085737777,192965.25092981322,119.32280907519929,1080.0159052523059,34363,0.9251296058866157
237542.80563144587,193128.95811954868,143.4614785303968,1666.3874703503186,34970,0.9110608379355468
235867.6835959818,193423.80655703545,140.84939499966782,1445.1668351153614,36159,0.911946099165135
239500.35037172842,192342.14720767952,121.43580415229142,849.8435452147239,33204,0.9208597921076462
233275.85461673126,193990.3690271382,140.26452964625204,1755.0452691129597,36969,0.9144927940233601
239598.02557827588,193232.96789791656,133.7370644058798,1581.357893633202,34325,0.9146232206258088
235036.4837361613,193510.6730502451,139.81506795189816,1259.420842565162,36418,0.9108440019755717
238658.89163716373,193092.2142918434,141.53185801937866,1351.140963997398,34944,0.9100197118187623
234906.83331557343,193870.97466341496,140.60646057412288,1202.329989781295,36907,0.907469144362779
235179.89995969355,193452.17305430217,126.51185348470023,1530.240324027188,35890,0.918836728340153
242704.7602430132,192845.47292627962,114.49554369524232,1144.0781434994367,32470,0.9293223910391483
242507.6699160765,192180.27690703867,135.53152664578548,1609.8640499145636,31882,0.9178567653423979
232800.16353766577,193919.84415910888,143.82156218122145,1040.7543043242963,37942,0.9059464673792522
234888.89281007936,193553.31452564264,154.80960433199306,1512.3336944328064,36633,0.9016434582331848
240856.96574135355,192285.8777779619,122.28992759698617,1241.4123171581434,32995,0.925026234987757
235924.7763510183,193011.11936175992,136.28540984607528,1199.206032152729,35710,0.910415036108197
232026.36744850496,193490.4202761125,139.57453312264224,1774.9734654321214,37345,0.9147201851707599
238372.0558641828,193368.21144946205,138.7822638233189,1597.296505410693,34770,0.9135345645384091
236150.88018096512,193245.48329364843,138.32102369615458,1850.9546397701363,35454,0.9130454153092195
233771.03153614324,193548.72213436058,130.53538083661385,1454.593295910709,36500,0.9159371480188689
238924.9778330651,192968.41249184887,127.35509770726247,1175.620941395719,33840,0.9191221104100419
238886.42997240814,192883.6158415912,149.23055946587075,1952.0464453178172,34277,0.909684712276286
231857.3021558456,193730.20772316033,143.3824517416244,1544.715305468286,38076,0.9082938454291019
237521.58168807553,193288.20022672677,135.54001506962052,1149.1224734981442,35069,0.9119678366475377
239669.43151733134,192587.5657547918,122.70838242721949,1452.8999195132924,33476,0.9263341936558155
241178.57029449262,192389.22240086558,119.80595730882646,1679.7931707939456,32649,0.9306698002350177
237311.91391759366,193441.00133086563,142.58527203929455,1539.2775673193778,35221,0.9118261526664962
237696.8219179934,193148.73906520006,137.63495844597978,1677.556453498626,35148,0.9138936172579909
