aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
1799451.2208485266,1037933.1267704263,1387.339882452049,5565.644011164309,179246,0.0
1799464.6525366534,1037968.5268063296,1197.2631812704328,4907.170316678508,155474,0.13262220635327984
1799459.011812007,1037969.8282858244,439.9036236791895,3225.2944942643767,68498,0.6939401716077346
1283968.0403058832,1199102.9400472736,380.8840334257805,2680.7443872146778,61969,0.7302658691705372,hit-rate-20-classical
1521972.070607534,1159193.1975962396,214.75760171974025,1581.5818099775765,46381,0.850018378053263,hit-rate-40-classical
11737.114436548223,22489.118697574766,954.2532588832487,2213.5751962580034,694,0.2954314720812183,tes-repli
14036.472148956356,24630.94078245805,950.3824573055028,1784.7752834017297,701,0.3349146110056926,tes-repli
11737.114436548223,22489.118697574766,954.2532588832487,2213.5751962580034,694,0.2954314720812183,test-replications
14036.472148956356,24630.94078245805,950.3824573055028,1784.7752834017297,701,0.3349146110056926,test-replications
12228.847906976744,22211.5919196394,930.2252376137512,2025.2129228138597,669,0.3235591506572295,test-replications
14326.051398503274,25033.901304936528,1005.0026753975678,3261.86818540769,710,0.33582787652011226,test-replications
12806.300024154589,23024.604525480634,895.1981256038647,2023.8381202335354,702,0.3217391304347826,test-replications
12994.687953861585,23832.48585517063,996.362888665998,4145.129260934416,665,0.3329989969909729,test-replications
13158.821850104821,23989.33572698262,848.9527777777778,1510.28371965402,657,0.3113207547169811,test-replications
13642.701895360316,23940.646334305602,861.5849851924976,2899.4739215691197,676,0.33267522211253703,test-replications
12015.890885947047,22849.137857306665,1132.5400203665988,4943.933534674047,693,0.29429735234215887,test-replications
13317.664597349643,24041.27098619673,834.6671457696228,1170.7086987368684,663,0.3241590214067278,test-replications
