aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
351382.79857815686,198459.27315624873,118.61523771614354,1543.2892736612598,21081,0.9332724661240578
355569.74125264405,206023.86487978342,144.7901082116138,1495.8782647561961,24410,0.9142267100106876
370649.6362692224,210102.01449831028,138.2438190261955,1253.3323219055028,24413,0.9148828096654814
392379.1515596147,205337.1507423727,108.03282995269515,1042.473712667653,23097,0.9370139579870704
352145.1519715,204654.81521785384,138.8882274363845,1342.1719456864544,24213,0.9136110620250928
353090.03095334896,205653.3117817244,140.48814632604163,2086.5338789023026,24141,0.9179793228912455
340438.54951030883,201039.63123490647,139.1668211377156,1541.838078029989,22908,0.9206337766591455
346419.45741472737,201418.5779639654,138.4002707694704,1327.0703873675411,22601,0.9182295114800247
356714.2283094005,208151.22252039498,152.4113614090701,1534.8606155816876,24655,0.9110736569521493
336317.3228151397,202114.35513185055,138.68082473999283,1411.4893104981854,23267,0.9199039973516511
351285.58003969945,200799.95151763686,134.82160010409342,1578.0242211236184,22242,0.9211769200529326
354061.57268737117,206575.75856744277,138.08654322496764,1135.7528388172059,24276,0.9139001094584308
375816.2351255222,210820.56243657036,137.3603530710636,1331.0210536566285,24307,0.9148390819264676
343581.89891305316,202744.00708882065,136.66146799957744,1315.783569205537,23637,0.9155718153866683
390360.1469489624,209265.04143475043,131.9708322828918,1359.0983370734948,25663,0.9234963877767474
351257.67283743725,207785.26258882086,147.3290129342347,1356.9077981252883,24353,0.9103535283051519
373061.8435652109,211836.59919834964,135.5584610256866,1160.317906678676,26067,0.9107579326282108
359778.48090554855,207513.99510665867,144.71926161896138,1382.6166497797963,24651,0.9123474551322287
347897.7945960309,207210.4575454126,146.1053900744554,1352.3446583616662,24699,0.9114118851891833
367973.773559355,206933.59523899353,133.7904101840327,1191.103443141272,25714,0.9183966038406828
361116.50761497865,208613.7883893865,155.00129479768785,2016.1877540794117,24661,0.9103403982016699
395639.9974994567,208157.67784574637,134.89273629012933,2092.798605402036,23955,0.926029946893581
394933.3186311634,211838.79873884117,135.1284629766681,1382.5272478239513,26842,0.9171169266210749
350980.6396811365,202786.4672518371,121.7424700666174,792.8561478307138,23415,0.9224704555430235
361499.98466796114,205296.95687048693,130.96730891029702,1577.4439452175318,24167,0.9219085080613798
357238.67663301696,207871.21412139107,151.04312132187766,1951.1943878071938,25059,0.9116917837472058
380480.26463333645,208297.83935497297,125.67067375393866,1092.124559970771,22926,0.9244610913213335
362486.9915712468,207056.12481849425,143.4106805226841,1715.9505921317693,23579,0.91539162416525
341048.7158099152,200559.1747967154,128.26353298582106,1158.3481141565987,22928,0.921481159710852
363200.8817148642,210541.76104725123,150.23816012398416,1798.0962521212161,24973,0.9093949106503058
