aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
346637.6038357328,196614.47424806858,100.68022294004622,1489.4835305298618,17779,0.9486229846008187
359461.2662124681,202616.78737843648,101.19681852111813,1121.4754326590155,19406,0.9445001504060965
371740.0750865609,204367.01032622345,103.25188884988493,1258.752181879493,20201,0.9452105934729674
362491.7268005496,200034.69863471363,94.40437902970088,769.8875085114797,18685,0.9484810218125379
357759.5203636738,201114.01225582825,92.26607507278486,621.5481279716772,19986,0.9481515706500259
383163.2092470516,202912.31475668793,99.39611155201598,1512.1219629592758,18775,0.9499791880567194
360013.4484548016,202864.26592279665,101.1897800259576,1311.2288753337252,19280,0.946931123609216
377425.7912520316,205044.9043127839,112.16125372918336,1670.7382469178676,20956,0.9409954136610562
352187.97704382025,204003.23935883128,108.11694647290173,1149.0229547593387,20745,0.9407715265961898
363369.4066198416,202971.36878176866,93.05961372774267,1051.040278658659,19388,0.9492941722263951
348588.4359875584,198475.98254103595,99.9198734275208,1222.9801477378435,19447,0.9453509911802925
362734.89065029245,206476.965044144,113.01006049361456,1418.4305384100328,21688,0.934645787389109
397959.2150505592,203575.05190434383,94.22600396477239,1350.247818875403,20341,0.950495874193441
362578.9420740582,194272.66143605846,98.90986418119552,1082.9294497605247,17506,0.949486301369863
366484.4818005111,205818.58267572854,100.32432481873212,1254.502365698781,20634,0.9452316015876183
366050.5477635957,203210.12705238097,101.86595447375608,1172.7438714385287,20954,0.9457062754649886
371213.3649977198,205871.02974495266,103.64990428892399,1126.4246724951136,20712,0.9425177407514516
359820.06234974513,202992.64858862443,95.43875688534887,1061.3073227576963,19949,0.9481076754617561
359507.1354307856,202216.1672301206,105.63703370811422,1353.1738617225226,19840,0.9436498744881165
353866.15230743,205523.05104047243,116.13752380265835,1647.3070044706578,21393,0.9382655805519666
367306.6252983237,203795.23401074787,101.40569719100499,1194.4996866441875,20928,0.9441202298773913
348740.3166298815,202235.1433665292,101.56913242666018,1575.4827880102116,19935,0.9462359046997244
365101.088143378,205302.14139933794,100.0242718284733,1467.2301659290788,20729,0.9485542161978915
338992.7093285841,200252.1779021656,115.68402108117081,1790.7903264650836,20554,0.9386930780722625
373578.1739038713,204388.59083398577,102.40498021207314,1381.774477952544,20060,0.9456068575881551
373388.02723428444,206174.5464487725,102.14061076449546,681.6650071024603,22606,0.9393117599755982
354389.10350535624,198894.35470303937,100.4496943025845,1425.7886017021854,18145,0.946914223044456
358152.47620518017,202273.2180769273,93.82851890511354,982.0527322483357,19568,0.9482427405474432
361965.42796379514,203280.2256175556,99.93203996812291,1318.641960069057,19952,0.9470209304127419
361946.91730843025,201427.77220154283,101.87436933104212,1127.41377465057,18933,0.945116423919874
